Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-May-23,31.06,33.29,31,32.99,32.63279799,6653621,10171,217126270,2529080,38.01,2.29,1.93
12-May-23,29.49,30.8,29.49,30.66,30.4434671,3768496,7491,114726084,1820043,48.3,1.31,1.17
11-May-23,29.11,30.45,28.96,29.25,29.59449141,2243659,4328,66399947,880208,39.23,1.49,0.14
10-May-23,28.99,29.25,28.45,29,28.94064172,1532642,1999,44355643,1015392,66.25,0.8,0.01
09-May-23,29.09,29.2,28.47,28.75,28.83600545,710609,1873,20491125,408997,57.56,0.73,-0.34
08-May-23,28.1,29.15,28.1,28.7,28.70798831,1172751,2729,33667322,660906,56.36,1.05,0.6
05-May-23,28.65,28.9,28,28.07,28.24159433,859122,2337,24262975,493652,57.46,0.9,-0.58
04-May-23,28,29.75,28,28.5,29.00344082,2976613,4232,86332019,874582,29.38,1.75,0.5
03-May-23,28.01,28.75,27.7,27.78,28.33452222,866077,2293,24539878,430062,49.66,1.05,-0.23
02-May-23,27.71,28.48,27.71,28.33,28.28176335,834232,2582,23593552,418039,50.11,0.77,0.62
28-Apr-23,28.4,28.77,27.39,27.65,28.02090419,433358,1613,12143083,248394,57.32,1.38,-0.75
27-Apr-23,28.7,28.88,28.35,28.44,28.56608021,458405,1379,13094834,153955,33.58,0.53,-0.26
26-Apr-23,27.41,28.74,27.41,28.38,28.19011395,1631632,2778,45995892,882108,54.06,1.33,0.97
25-Apr-23,27.05,28.14,27.05,27.68,27.67248845,1361439,3311,37674405,671103,49.29,1.09,0.63
24-Apr-23,27,27.41,27,27.31,27.27371255,677057,1573,18465858,333203,49.21,0.41,0.31
21-Apr-23,26.56,27.1,26.56,26.98,26.85667327,387576,1404,10409002,117677,30.36,0.54,0.42
20-Apr-23,27.3,27.52,26.77,26.86,27.13291733,263141,816,7139783,97871,37.19,0.75,-0.44
19-Apr-23,26.86,27.75,26.86,27.29,27.39501744,1028147,2375,28166105,436582,42.46,0.89,0.43
18-Apr-23,26.51,27.69,26.51,27.08,27.26471708,863979,2477,23556143,276294,31.98,1.18,0.57
17-Apr-23,26.56,26.79,26.2,26.69,26.53280084,673687,1457,17874803,377790,56.08,0.59,0.13
13-Apr-23,26.51,27.14,26.37,26.75,26.81935346,680788,2121,18258294,213281,31.33,0.77,0.24
12-Apr-23,26.26,26.69,26.22,26.58,26.50290908,474549,1365,12576929,229150,48.29,0.47,0.32
11-Apr-23,26.36,26.68,26.3,26.44,26.51405977,386066,1591,10236177,165941,42.98,0.38,0.08
10-Apr-23,26.61,26.73,25.98,26.31,26.33142415,796327,2715,20968424,210774,26.47,0.75,-0.3
06-Apr-23,26.75,27.99,26.26,26.5,27.26632955,1614068,3420,44009710,395982,24.53,1.73,-0.25
05-Apr-23,26,26.7,26,26.56,26.30611324,490018,1111,12890469,102533,20.92,0.7,0.56
03-Apr-23,25.01,26.53,25.01,26.33,26.05907619,910993,2635,23739636,420932,46.21,1.52,1.32
