DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
23-Nov-20,EQ,34.7,38,34.35,33.05,37.25,37.3,36.65,38,30.05,11604586,"42,52,85,114.35",34019
20-Nov-20,EQ,33.2,33.7,32.75,33.2,32.95,33.05,33.17,34.75,30.05,1280775,"4,24,88,349.45",5339
19-Nov-20,EQ,33.9,33.9,33.05,33.95,33.15,33.2,33.46,34.75,30.05,1392356,"4,65,85,915.65",8579
18-Nov-20,EQ,34,34.55,33.85,34.3,34.05,33.95,34.17,34.75,30.05,2069678,"7,07,18,550.35",14503
17-Nov-20,EQ,34.15,34.7,33.8,34.2,34.25,34.3,34.2,34.75,30.05,2071178,"7,08,34,025.15",6822
14-Nov-20,EQ,34.5,34.75,34.1,34.5,34.2,34.2,34.34,34.75,30.05,853354,"2,93,00,756.55",3951
13-Nov-20,EQ,33.55,34.75,33.5,33.55,34.35,34.5,34.12,34.75,30.05,5544814,"18,91,77,762.10",26795
12-Nov-20,EQ,33,33.75,33,32.95,33.7,33.55,33.42,34.5,30.05,1868282,"6,24,34,692.90",9510
11-Nov-20,EQ,33.45,33.7,32.8,33.35,33,32.95,33.16,34.5,30.05,1459446,"4,83,99,716.10",7583
10-Nov-20,EQ,33.5,34.5,33.15,32.65,33.4,33.35,33.73,34.5,30.05,5976055,"20,15,72,656.85",31563
09-Nov-20,EQ,33,33.5,30.5,32.85,32.65,32.65,32.95,33.75,30.05,4323953,"14,24,55,284.05",17919
06-Nov-20,EQ,32.7,33.05,32.5,33,32.9,32.85,32.87,33.75,30.05,1351591,"4,44,31,179.00",9079
05-Nov-20,EQ,32.7,33.3,32.4,32.7,33,33,33.01,33.75,30.05,3951058,"13,04,35,616.50",18558
04-Nov-20,EQ,32.95,33.1,32,32.95,32.75,32.7,32.81,33.75,30.05,1667520,"5,47,16,599.90",8244
03-Nov-20,EQ,33.15,33.75,32.7,32.8,33.05,32.95,33,33.75,30.05,4556016,"15,03,49,418.10",13429
02-Nov-20,EQ,31.1,33.15,30.05,33,33.05,32.8,31.67,33.15,30.05,23099679,"73,16,37,384.10",81782
